job_id,change_status,last_changed_at,update_count,is_active,recommendation,application_priority_score,door_score,landing_score,career_score,relevance_score,qualification_score,urgency_score,application_friction_score,eligibility_confidence,remote_confidence,source_confidence,extraction_confidence,title,company,location_raw,salary_text,posted_at,posting_status,application_deadline,normalized_title_family,career_lane,search_profile,resume_variant,remote_gate,employment_type,employment_class,employment_reason,source_verification,source_verification_reason,canonical_verified,recall_reason,travel_percent,timezone_requirement,work_auth_gate,work_authorization_requirement,salary_annual_mid,canonical_source_site,canonical_url,apply_url,application_status,notes,first_seen,last_seen
J1A29CFE2B13B4C,NEW,2026-09-07T19:25:27+00:00,0,1,OUT_OF_SCOPE,0.0,0.0,0.0,0.0,0.0,0.0,40.0,85.0,0.0,40.0,94.0,95.0,Ultrasound Applications Specialist,GE HealthCare,Remote,,,unknown,,,,,,review,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,no recall-stage title archetype,70.0,,review,"unded by career opportunities in a culture that fosters care, collaboration and support. #REMOTE We will not sponsor individuals for employment visas, now or in the future, for this job opening. Additional Information GE HealthCare offers a great work environment, professional development, challenging careers, and comp",,linkedin,https://www.linkedin.com/jobs/view/4463104548/,https://www.linkedin.com/jobs/view/4463104548/,new,,2026-09-07T19:25:27+00:00,2026-09-07T19:25:27+00:00
JCE16E795258CC6,NEW,2026-09-07T19:25:24+00:00,0,1,OUT_OF_SCOPE,0.0,0.0,0.0,0.0,0.0,0.0,40.0,79.0,0.0,95.0,94.0,95.0,Associate Medical Director Imaging,Imaging Endpoints,Remote,,,unknown,,,,,,reject,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,healthcare/access title signals: medical + associate,10.0,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4461978794/,https://www.linkedin.com/jobs/view/4461978794/,new,,2026-09-07T19:25:24+00:00,2026-09-07T19:25:24+00:00
JC9E4E149C8C958,NEW,2026-09-07T19:09:40+00:00,0,1,OUT_OF_SCOPE,0.0,0.0,0.0,0.0,0.0,0.0,40.0,85.0,0.0,78.0,94.0,95.0,"Prin Health E​conomics, Policy and Reimbursement Generalist",Medtronic,Remote,,,unknown,,,,,,pass,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,no recall-stage title archetype,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4456330047/,https://www.linkedin.com/jobs/view/4456330047/,new,,2026-09-07T19:09:40+00:00,2026-09-07T19:25:16+00:00
J4756F10D7F594A,NEW,2026-09-07T19:06:53+00:00,0,1,OUT_OF_SCOPE,0.0,0.0,0.0,0.0,0.0,0.0,40.0,85.0,0.0,98.0,94.0,95.0,Technical Specialist - Active Medical Devices,BSI,Remote,,,unknown,,,,,,pass,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,healthcare/access title signals: medical + specialist,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4427228464/,https://www.linkedin.com/jobs/view/4427228464/,new,,2026-09-07T19:06:53+00:00,2026-09-07T19:25:03+00:00
J18524DDA5AE793,NEW,2026-09-07T19:24:59+00:00,0,1,OUT_OF_SCOPE,0.0,0.0,0.0,0.0,0.0,0.0,40.0,85.0,0.0,98.0,94.0,95.0,Medical Director - Clinical Advocacy and Support - Remote - PST preferred,Ladders,Remote,,,unknown,,,,,,pass,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,healthcare/access title signals: medical + support,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4462803453/,https://www.linkedin.com/jobs/view/4462803453/,new,,2026-09-07T19:24:59+00:00,2026-09-07T19:24:59+00:00
J3C817B128C5E3B,NEW,2026-09-07T19:09:55+00:00,0,1,OUT_OF_SCOPE,0.0,0.0,0.0,0.0,0.0,0.0,40.0,85.0,0.0,40.0,94.0,95.0,Clinical Applications Specialist Women's Health (West Coast),GE HealthCare,Remote,,,active,2026-11-04,,,,,review,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,healthcare/access title signals: clinical + specialist,,,review,"be surrounded by career opportunities in a culture that fosters care, collaboration and support. We will not sponsor individuals for employment visas, now or in the future, for this job opening. For U.S. based positions only, the pay range for this position is $92,000.00-$138,000.00 Annual. It is not typical for an ind",,linkedin,https://www.linkedin.com/jobs/view/4463106173/,https://www.linkedin.com/jobs/view/4463106173/,new,,2026-09-07T19:09:55+00:00,2026-09-07T19:24:53+00:00
JC2F8A494C1110F,NEW,2026-09-07T19:24:41+00:00,0,1,OUT_OF_SCOPE,0.0,0.0,0.0,0.0,0.0,0.0,40.0,85.0,0.0,78.0,94.0,95.0,Director of Patient Access,Lorven Technologies Inc.,Remote,,,unknown,,,,,,pass,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,specific workflow title: patient access,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4462301825/,https://www.linkedin.com/jobs/view/4462301825/,new,,2026-09-07T19:24:41+00:00,2026-09-07T19:24:41+00:00
JC3C4162799F4DE,NEW,2026-09-07T19:24:38+00:00,0,1,OUT_OF_SCOPE,0.0,0.0,0.0,0.0,0.0,0.0,40.0,85.0,0.0,78.0,94.0,95.0,Clinical Specialist CRM - Sacramento,Medtronic,Remote,,,unknown,,,,,,pass,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,healthcare/access title signals: clinical + specialist,80.0,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4456444258/,https://www.linkedin.com/jobs/view/4456444258/,new,,2026-09-07T19:24:38+00:00,2026-09-07T19:24:38+00:00
J4C08B705FDCA50,NEW,2026-09-07T19:24:27+00:00,0,1,OUT_OF_SCOPE,0.0,0.0,0.0,0.0,0.0,0.0,40.0,85.0,0.0,40.0,94.0,95.0,Sr Clinical Solutions MD,CVS Health,Remote,,,unknown,,,,,,review,,full_time_employee,full-time role; no contractor marker detected,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,no recall-stage title archetype,25.0,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4462896248/,https://www.linkedin.com/jobs/view/4462896248/,new,,2026-09-07T19:24:27+00:00,2026-09-07T19:24:27+00:00
J10661D5926208D,NEW,2026-09-07T19:24:21+00:00,0,1,OUT_OF_SCOPE,0.0,0.0,0.0,0.0,0.0,0.0,40.0,79.0,0.0,40.0,94.0,95.0,"National Director, US Field Medical Cardiomyopathy",Jobgether,Remote,,,unknown,,,,,,review,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,no recall-stage title archetype,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4460796187/,https://www.linkedin.com/jobs/view/4460796187/,new,,2026-09-07T19:24:21+00:00,2026-09-07T19:24:21+00:00
